PortNumber,AccNumber,LocNumber,CountryCode,PostalCode,OccupancyCode,ConstructionCode,LocCurrency,LocPerilsCovered,LocPeril,BuildingTIV,OtherTIV,ContentsTIV,BITIV,LocLimit6All,LocDed6All,LocDedType6All,LocLimitType6All
Simple,1,1,UK,G71 5HX,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,2,UK,TA2 8SH,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,3,UK,CV3 4DL,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,4,UK,WD24 5DG,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,5,UK,NE39 2JA,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,6,UK,CA8 9BX,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,7,UK,E1W 3NP,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,8,UK,FK7 0LT,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,9,UK,KA8 9AN,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,10,UK,BT19 6AR,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,11,UK,PA34 5EA,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,12,UK,CT17 0DJ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,13,UK,DD5 2NN,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,14,UK,ME18 5ES,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,15,UK,SG1 2FP,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,16,UK,NW7 2NX,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,17,UK,LE15 8PZ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,18,UK,CV31 3BQ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,19,UK,SR8 4AT,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,20,UK,NN3 9HP,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,21,UK,LE14 2PQ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,22,UK,BT45 8BS,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,23,UK,EN8 0NF,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,24,UK,BN1 7JS,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,25,UK,LA6 2DY,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,26,UK,CV8 2DA,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,27,UK,SS8 7DW,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,28,UK,CR7 8NL,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,29,UK,TR14 7HY,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,30,UK,PL5 1DP,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,31,UK,NG5 7EE,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,32,UK,WN5 8FS,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,33,UK,DA16 2AE,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,34,UK,NW5 2JD,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,35,UK,WV6 0LG,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,36,UK,PR5 6AY,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,37,UK,DL17 8LF,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,38,UK,SN16 0NG,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,39,UK,BS31 1WA,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,40,UK,W1W 8RL,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,41,UK,CO12 3QB,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,42,UK,EX33 1PP,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,43,UK,TN12 9BT,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,44,UK,NG2 2HJ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,45,UK,BS49 5AL,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,46,UK,NG3 5UZ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,47,UK,CV5 7DG,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,48,UK,SS16 4EU,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,49,UK,BB18 5AS,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,50,UK,WV6 0UW,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,51,UK,LS25 1BQ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,52,UK,LU5 5NX,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,53,UK,SO16 5NS,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,54,UK,KA19 7BJ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,55,UK,BT79 0SZ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,56,UK,BN6 9BY,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,57,UK,WD6 2FB,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,58,UK,BT81 7NA,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,59,UK,NG2 1PR,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,60,UK,PL6 5HA,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,61,UK,HD9 6QG,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,62,UK,NE5 9DJ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,63,UK,NG33 4HL,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,64,UK,NN14 4EW,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,65,UK,BH22 0EH,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,66,UK,NP23 5EY,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,67,UK,TR27 9AZ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,68,UK,NP4 0ST,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,69,UK,SG18 9QE,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,70,UK,S4 7EH,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,71,UK,RM1 4PP,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,72,UK,SE1 2EU,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,73,UK,CW7 1EF,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,74,UK,EH48 1DZ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,75,UK,UB7 9DW,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,76,UK,BD1 1LB,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,77,UK,KA21 5JP,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,78,UK,DY10 2XQ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,79,UK,G32 7HY,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,80,UK,M43 6SF,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,81,UK,L27 1AF,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,82,UK,RG31 6YP,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,83,UK,SS6 7NN,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,84,UK,OL2 6EL,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,85,UK,EN2 0BS,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,86,UK,SG14 3SN,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,87,UK,DN21 3HD,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,88,UK,NE1 2BX,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,89,UK,CO6 4DD,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,90,UK,OX2 9DZ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,91,UK,G2 9GN,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,92,UK,SS7 2DH,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,93,UK,LU4 9UT,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,94,UK,M23 0HQ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,95,UK,WF2 0PU,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,96,UK,BH22 0DU,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,97,UK,SN13 8HR,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,98,UK,M7 3QN,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,99,UK,WR5 1AG,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,100,UK,CO1 2PG,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,101,UK,BT41 3DF,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,102,UK,SW6 3NE,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,103,UK,PL27 7AR,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,104,UK,TS19 0RS,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,105,UK,LL33 0TW,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,106,UK,CT19 5HU,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,107,UK,PE6 7GR,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,108,UK,AB52 6TA,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,109,UK,TS4 2PQ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,110,UK,SW18 1QD,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,111,UK,AB54 4PU,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,112,UK,UB3 5AD,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,113,UK,PE28 0GE,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,114,UK,HU14 3PZ,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
Simple,1,115,UK,BT21 0SL,1000,5000,GBP,ORF,ORF,100000,1000,10000,0,100000,250,0,0
